案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
10	宜蘭縣蘇澳鎮	2018-11-25T00:56:41+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:50:42+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T00:22:12+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T06:13:04+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:53:40+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-25T00:13:13+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:38:14+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T03:38:03+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:15:17+08:00	12080	4251	16331	1177	17508	30930	56.61%	39.06%	40	43
10	宜蘭縣蘇澳鎮	2018-11-25T00:08:35+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T01:06:33+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:25:52+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:32:46+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:30:20+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:59:12+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
